drugbank_id,partner_id,inhibitor,antagonist,agonist
DB00001,BE0000048,1,0,0
DB00002,BE0000767,0,0,0
DB00002,BE0000901,0,0,0
DB00002,BE0002094,0,0,0
DB00002,BE0002095,0,0,0
DB00002,BE0002096,0,0,0
DB00002,BE0002097,0,0,0
DB00002,BE0000710,0,0,0
DB00002,BE0002098,0,0,0
DB00004,BE0000658,0,0,0
DB00004,BE0000651,0,0,1
DB00004,BE0002102,0,0,0
DB00005,BE0000704,1,0,0
DB00005,BE0001087,0,0,0
DB00005,BE0000710,0,0,0
DB00005,BE0002098,0,0,0
DB00005,BE0002099,0,0,0
DB00005,BE0002100,0,0,0
DB00005,BE0002097,0,0,0
DB00005,BE0000901,0,0,0
DB00005,BE0009995,0,0,0
DB00006,BE0000048,1,0,0
DB00007,BE0000203,0,0,1
DB00008,BE0000385,0,0,1
DB00008,BE0000661,0,0,1
DB00009,BE0000211,0,0,0
DB00009,BE0000538,0,0,0
DB00009,BE0002092,0,0,0
DB00009,BE0000240,0,0,0
DB00010,BE0000625,0,0,1
DB00011,BE0000661,0,0,1
DB00011,BE0000385,0,0,1
DB00012,BE0000654,0,0,1
DB00013,BE0000211,0,0,0
DB00013,BE0000717,0,0,0
DB00013,BE0000240,0,0,0
DB00013,BE0000969,0,0,0
DB00013,BE0002112,0,0,0
DB00013,BE0000942,0,0,0
DB00013,BE0001656,0,0,0
DB00013,BE0002113,0,0,0
DB00014,BE0000134,0,0,1
DB00014,BE0000203,0,0,1
DB00015,BE0000211,0,0,0
DB00015,BE0000538,0,0,0
DB00015,BE0000240,0,0,0
DB00016,BE0000654,0,0,1
DB00017,BE0000431,0,0,1
DB00018,BE0000661,0,0,1
DB00018,BE0000385,0,0,1
DB00019,BE0000793,0,0,1
DB00020,BE0000628,0,0,1
DB00020,BE0001036,0,0,1
DB00020,BE0002115,0,0,1
DB00020,BE0002116,0,0,1
DB00020,BE0002114,0,0,0
DB00022,BE0000661,0,0,1
DB00022,BE0000385,0,0,1
DB00024,BE0000490,0,0,1
DB00025,BE0000216,0,0,0
DB00025,BE0000364,0,0,0
DB00025,BE0001043,0,0,0
DB00025,BE0002117,0,1,0
DB00025,BE0002118,0,0,0
DB00025,BE0001098,0,0,0
DB00025,BE0002109,0,0,0
DB00025,BE0001011,0,0,0
DB00025,BE0002119,0,0,0
DB00025,BE0002110,0,0,0
DB00025,BE0002120,0,0,0
DB00026,BE0000565,0,1,0
DB00028,BE0000710,0,1,0
DB00028,BE0004684,0,1,0
DB00028,BE0002098,0,1,0
DB00028,BE0002099,0,1,0
DB00028,BE0002100,0,1,0
DB00028,BE0002097,0,1,0
DB00028,BE0000901,0,1,0
DB00028,BE0003455,0,0,0
DB00028,BE0004685,0,0,0
DB00028,BE0004686,0,0,0
DB00028,BE0000855,0,0,0
DB00029,BE0000211,0,0,0
DB00029,BE0000538,0,0,0
DB00029,BE0000240,0,0,0
DB00030,BE0000033,0,0,1
DB00030,BE0000858,0,0,0
DB00030,BE0001123,0,0,0
DB00030,BE0001147,0,0,0
DB00030,BE0000942,0,0,0
DB00030,BE0002126,1,0,0
DB00031,BE0000211,0,0,0
DB00031,BE0000538,0,0,0
DB00031,BE0000717,0,0,0
DB00031,BE0000240,0,0,0
DB00031,BE0000969,0,0,0
DB00031,BE0002104,0,0,0
DB00031,BE0002105,0,0,0
DB00031,BE0001170,0,0,0
DB00031,BE0002109,0,0,0
DB00031,BE0001011,0,0,0
DB00031,BE0002110,0,0,0
DB00032,BE0000387,0,0,0
DB00032,BE0000134,0,0,0
DB00033,BE0000711,0,0,0
DB00033,BE0000467,0,0,0
DB00034,BE0000661,0,0,0
DB00034,BE0000385,0,0,0
DB00035,BE0000293,0,0,1
DB00035,BE0000165,0,0,0
DB00035,BE0000773,0,0,0
DB00036,BE0000216,0,0,0
DB00036,BE0001178,0,0,0
DB00036,BE0000967,0,0,0
